Question,Answer
"What can I do about: my son is vomiting again and again. age ��������� 13 years. looks like he has caught cold. i am in train no. 22419, ghazipur city to anand vihar (suheldev super express), coach no.- a1, seat no. - traveling in 11 (ac-2). if possible",For necessary action escalated to the concerned official.
What can I do about: train no .22987...ajmer to agra...windows not having mirror ..its a winter time ..dont know how passengers are going to cope up with cold through window. pathetic situation.?,We have routed your concern to the relevant officials for handling.
"What can I do about: dear team, charging point of coach no. b6/42/mb of train no. 12555 (gorakhdham express) is not working. you are requested to fix it as soon as possible.?",Your request has been passed on to the designated authority for processing.
"What can I do about: train no 12360, hundreds of without ticket passengers flooding everywhere. pls do something?",Action has been initiated by the concerned department for your complaint.
What can I do about: i'm in ss class my pnr is 2326704127 and this window can't be locked.. idhr se sab uth gaye kyunki bhot tej thandi hawa aa rahi hai?,We have referred your issue to the concerned team for necessary action.
What can I do about: there is no water at all in bogie number d 15 of jan shatabdi express going from banaras to patna. this train has started from banaras from pandit deendayal upadhyay station.?,Your concern has been directed to the responsible authority for immediate attention.
What can I do about: hi @ashwinivaishnaw @irctcofficial @indianrailway__ asked the attendant to give me tea instead of coffee and he simply refused saying that they dont have tea 22119 pnr:8914006628 had no idea that paying a premium fee in a premium train still wont get us our preferred drink������,The matter has been forwarded to the appropriate department for further review.
What can I do about: charging point not working.?,We have routed your concern to the relevant officials for handling.
What can I do about: no house keeping staff available to clean train coach train no 12502 seat no g9 / 40?,For necessary action escalated to the concerned official.
"What can I do about: we are traveling on train 22902 (udaipur city - bandra terminus sf express) in second ac. the ac temperature in our coach is uncomfortable, causing inconvenience. kindly assist. pnr: 2919831917 coach: ha 1 berth: 1,2?",For necessary action escalated to the concerned official.
What can I do about: r d meena tc in the train number 19412 my pnr number is pnr-2222271538. at time of 2:32 min very disturbed by other personnel due to invalid ticket..?,We have routed your concern to the relevant officials for handling.
"What can I do about: pnr 6345002731 traveling from gaya to delhi no blankets,sheets and pillow available on seats. also coach is dirty. need immediate action ?",Your request has been passed on to the designated authority for processing.
